Drink Volume,Drink Name,Attributes,Energy,Protein,Total Fat,Carbohydrate,Calcium,Vitamin A,Vitamin B1,Vitamin D3,Carbohydrates,Saturated Fat,Sugars,Sodium,Calories,Total Sugars,Energy from Fat,Trans Fat,Cholesterol,Total Carbohydrates,Dietary Fibre,Calories from Fat,Monounsaturated Fat,Polyunsaturated Fat,Total Carbohydrate,Total Sugar,Monounsaturated Fatty Acid,Polyunsaturated Fatty Acid,Saturated Fatty Acid,Trans Fatty Acid,Salt,Cholestrol,Unsaturated Fat,Lactose,Sucrose,Calories From Fat,Saturated,Vitamin C,Iron,Fats,Natrium,Sugar,Fat,Trans fat,Dietary Fiber,Total fat,Saturated fat,Omega 6,Carbohyrate,Lipids,Salt equivalent,Phosphrous,Calorie,Potassium,Polyphenois,Caffeine,Per,Saturates Fat,Total Carb,Total Fats,Saturated Fats,Added Sugar,Caffeine Content,Per Serving,SaturatedFat,of which saturated fats,of which sugars,Fibres,Fibre,Serving Per,Added Sugars,Vitamin D,Total Calorieso,Calories From Saturated Fat,Salt (Sodium),Serving,TotalSugers,Monosaturated Fat,Satutated Fat,Total Dietary Fiber,Enery
10 pc,Punto Italia Espresso Nespresso Choco Pods Cioccolata Classic,Per Serving (100g),,,,,,,,,,,4.9g,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250 G,illy Whole Bean Arabica Selection Guatemala,Per Serving (100g),344kcal,17g,,12g,,,,,,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,0g,14g,,,,,,,,,,,,,,100g,6.2g,,,,,,,,,,,,,,,,,,,,,,,
12 pc,Punto Italia Espresso Dolce Gusto Coffee Pods Intenso,Per Serving (100g),,,,,,,,,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500 G,Giovannini Speciale N.1 - Fresh Espresso Coffee Beans,Per Serving (),,,,,,,,,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300 G,Biogreen Biogreen Dream Coffee Oatmilk,Per Serving (),,4g,0.7g,23.3g,,,,,,0.1g,,14.4mg,489.53kj,,,,,,0.7g,,,,,8.7g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 X 330G,Killiney Kopi-O Siew Dai Trio,Per Serving (22),,2.8g,1.5g,,,,,,14.3g,0.7g,10.3g,36mg,,,,0g,0mg,,2.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 pc,Punto Italia Espresso Nespresso Tea Pods Earl Grey,Per Serving (100g),,,,,,,,,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 pc,Punto Italia Espresso Nespresso Coffee Pods Decaffeinato,Per Serving (100g),,,,,,,,,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 X 20G,Yit Foh Tenom Kopi O - 2in1,Per Serving (20g),,,0.3g,,,,,,,,,66mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,11g,,,,,,,,,,,,,,,,,18g,,,,,,,,,,,,,,,,,,,,,,
200ml,Minor Figures Nitro Cold Brew Black,Per Serving (200),0kJ,0g,,0g,,,,,,,,,,,,,,,,,,,,,,,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0g,,,,,,,,,,,,,,,,,,,,,
200ml,Minor Figures Nitro Cold Brew Latte,Per Serving (200),500kJ,1.2g,,18.2g,,,,,,,8g,,,,,,,,,,,,,,,,,,0.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4g,0.6g,,,,,,,,,,,,,,,,,,,,
1 KG,Daroma Palombini Gran Bar Italian Whole Roasted Coffee Beans,Per Serving (),,,,,,,,,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 X 10G,Indocafe The Sumatra Mandheling Drip Coffee Pouch,Per Serving (),0.4g,,,,,,,,0.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80.5 G,AGF Blendy Cafe Latory Stick 7P Thick Creamy Cappuccino,Per Serving (),,0.59g,,,,,,,6.9g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3g,0.2g,27mg,60kcal,88mg,210mg,36mg,,,,,,,,,,,,,,,,,,,,,,,,,
12 X 25G,Aik Cheong Caf Art Latte 12s,Per Serving (),,2g,,,37.8mg,,,,,2g,,52mg,,,,,,19g,1g,,,,,9g,,,,,,,,,,,,,0.1mg,,,,,,,,,,,,,,110kcal,91.5mg,,,,,,2g,,6g,75mg,,,,,,,,,,,,,,,,,,
20 X 25G,Gold Choice Charcoal Roasted Traditional Black Coffee - Kopi,Per Serving (0.3g),90kcal,0.3g,,21.1g,20mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5mg,,,,0.5g,,,,,,,,,,,20mg,,,,,,,,,,,,,,,,,,,,,,,,,,,
